Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Sarson da Saag,1,1,1,Veg,401,7,13.9,2.51,353,141,409,14,6.2,0.6,5.9
Modak,1,1,1,Veg,412,6.1,15.1,0.97,341,295,130,55,3.8,1.8,8
Basundi,1,0,0,Veg,134,4.6,11.1,0.83,215,755,439,57,2,0.6,1.4
Kharabath,1,1,0,Veg,327,2.3,14.8,4.95,367,92,297,54,2.7,1.7,6.1
Sev Puri,1,0,0,Non-Veg,289,4.2,18.9,4.67,232,636,179,42,7.7,1,2.1
Egg Curry,1,1,0,Non-Veg,232,25.6,21.7,3.67,304,726,278,16,6.8,0.9,8.2
Vegetable Pulao,1,1,1,Veg,312,13.2,6.4,1.15,315,298,232,54,9.3,0.4,4.7
Chana Masala,1,1,0,Non-Veg,241,14.2,21.9,3.04,62,59,251,34,9.8,1.8,6.7
Mysore Pak,0,0,1,Veg,145,16.6,9.7,4.1,83,706,454,43,1.6,0.3,8
Shahi Paneer,1,1,1,Veg,179,10.5,21.2,1.32,181,406,180,29,4.1,0.5,7
Chicken 65,0,1,0,Non-Veg,391,9.8,22,4.59,50,236,256,13,4.5,0.3,8
Mutton Rogan Josh,1,0,1,Non-Veg,483,9,14.2,3.55,50,399,423,19,6.2,0.1,7.6
Hyderabadi Biryani,1,1,1,Veg,138,14,17,0.67,185,448,293,28,1.1,1.8,7.9
Malabar Parotta,1,0,0,Veg,466,27.6,3.9,1.56,260,670,237,13,4.3,1.6,7.6
Appam,1,0,1,Non-Veg,248,27.4,22.9,4.56,220,737,392,46,3.3,0.8,3.7
Kozhukattai,1,1,1,Non-Veg,315,17.1,15.3,3.79,76,480,229,53,9.3,0.9,5.1
Kachori,0,0,1,Veg,362,16.9,11.6,3.94,371,167,428,55,9.4,0.1,6.8
Methi Thepla,1,1,0,Veg,267,4.2,6.2,4.33,252,744,147,21,7,1.9,6.3
Sabudana Khichdi,0,0,1,Veg,316,22,7.1,1.91,118,266,149,14,7.9,1.6,2.7
Besan Chilla,1,0,0,Non-Veg,116,7.3,4.1,2.03,84,337,317,17,9.9,0.4,6.4
Masoor Dal,1,1,0,Veg,422,28,18.8,4.81,352,172,399,57,9.1,0.9,5.6
Lauki Kofta,1,0,0,Non-Veg,313,17.3,2.6,1.9,239,264,360,37,7.1,1.3,7.5
Pesarattu,0,1,1,Veg,121,23.3,6.7,3.63,350,109,359,30,6.8,1.2,4.9
Masala Dosa,0,0,0,Veg,135,17.8,12.4,3.87,244,276,349,35,1.5,0.3,8.6
Medu Vada,0,0,0,Non-Veg,370,2.8,13.6,4.41,152,630,402,53,3.7,1.1,9.6
Kanda Poha,1,0,0,Non-Veg,475,17.6,7.2,0.9,334,560,410,10,7.1,1.3,3.7
Rava Kesari,1,1,0,Non-Veg,172,18.3,18.9,0.93,174,776,450,21,5,1.7,2.4
Thalipeeth,1,1,1,Veg,174,26.3,2.1,0.98,387,152,111,51,8.5,1.5,6.7
Gatte ki Sabzi,0,1,1,Veg,153,25.7,20.4,0.9,228,305,331,22,5.3,0.4,7.2
Methi Malai Murg,1,0,1,Non-Veg,421,5.2,5.1,4.17,266,288,127,31,1.3,1.1,1.8
Dahi Bhalla,1,1,1,Non-Veg,443,8,4.7,1.31,348,210,256,25,7.2,0.6,3.7
Kulfi,1,0,1,Non-Veg,377,5.6,16.4,1.44,360,409,369,29,9.6,1.1,6.2
Shankarpali,0,1,0,Non-Veg,424,25.6,3.5,3.97,75,571,219,43,5.4,1.6,4
Moong Dal Halwa,1,0,1,Veg,300,20.4,20.4,2.06,62,352,479,42,6.9,1.3,8.7
Ragi Mudde,1,0,1,Veg,418,22.5,20.8,0.59,367,641,458,25,3.7,1.1,1.2
Bisi Bele Bath,1,0,0,Non-Veg,167,24.1,19.8,3.98,168,614,420,17,1.6,0.3,7.2
Neer Dosa,1,0,0,Non-Veg,291,26.4,21.8,3.15,176,770,397,11,2.5,0.7,4.2
Rajma Chawal,1,1,0,Veg,350,12,10,2.5,150,200,400,50,8,0,5
Chole Bhature,0,1,1,Veg,450,20,12,3,180,300,450,55,7,0,4
Pav Bhaji,1,0,0,Veg,320,10,8,2,120,250,300,48,6,0,6
Dhokla,1,0,0,Veg,150,2,4,1.5,100,150,200,35,4,0,3
Aloo Paratha,1,1,0,Veg,290,14,9,2.8,140,180,350,45,5,0,4
Palak Paneer,0,1,1,Veg,300,18,14,3.5,200,220,400,50,9,0,5
Butter Chicken,0,1,1,Non-Veg,480,25,32,2.2,250,350,500,52,3,0,3
Hyderabadi Biryani,0,1,1,Non-Veg,500,22,35,3,220,320,480,60,4,0,4
Misal Pav,1,0,0,Veg,280,9,7,1.8,110,210,310,40,7,0,6
Baingan Bharta,0,1,1,Veg,200,8,5,2,90,180,270,38,6,0,5
Kadhi Pakora,0,1,1,Veg,260,11,6,2.5,120,190,320,42,7,0,4
Gajar Halwa,0,0,0,Veg,400,15,10,3.2,140,200,350,50,8,0,7
Modak,0,0,0,Veg,420,18,8,3,160,230,370,55,6,0,6
Malai Kofta,0,1,1,Veg,350,14,12,2.5,180,250,400,48,7,0,5
Pesarattu,1,0,0,Veg,180,6,6,1.8,130,160,290,30,5,0,3
Undhiyu,0,1,1,Veg,270,8,7,2,110,190,310,35,5,0,4
Makki ki Roti,1,0,0,Veg,250,9,6,2.2,100,180,300,38,6,0,3
Sarson da Saag,0,1,1,Veg,280,10,8,2.8,120,200,350,42,7,0,4
Litti Chokha,1,1,1,Veg,320,11,9,3,140,210,370,45,8,0,5
Thepla,1,1,0,Veg,260,7,6,1.5,110,170,290,37,6,0,3
Appam,1,0,0,Veg,210,5,5,1.2,90,140,250,32,4,0,2
Chettinad Curry,0,1,1,Non-Veg,380,14,15,2.8,200,280,430,50,5,0,5
Neer Dosa,1,0,0,Veg,230,4,5,1,80,130,240,28,3,0,2
Mysore Pak,0,0,0,Veg,450,16,12,3.5,220,310,460,55,9,0,6
Aloo Gobi,1,0,0,Non-Veg,200,5,6,1.2,50,100,150,30,2,0,3
Bhindi Masala,0,1,0,Veg,201,6,7,2.2,51,101,151,31,3,0,4
Matar Paneer,0,0,1,Veg,202,7,8,3.2,52,102,152,32,4,0,5
Vegetable Pulao,1,0,0,Veg,203,8,9,4.2,53,103,153,33,5,0,6
Mushroom Masala,0,1,0,Non-Veg,204,9,10,1.2,54,104,154,34,6,0,7
Kachori,0,0,1,Veg,205,10,11,2.2,55,105,155,35,2,0,8
Besan Chilla,1,0,0,Veg,206,11,12,3.2,56,106,156,36,3,0,9
Kheer,0,1,0,Veg,207,12,13,4.2,57,107,157,37,4,0,3
Rasgulla,0,0,1,Non-Veg,208,13,14,1.2,58,108,158,38,5,0,4
Pani Puri,1,0,0,Veg,209,14,15,2.2,59,109,159,39,6,0,5
Sev Puri,0,1,0,Veg,210,5,16,3.2,60,110,160,40,2,0,6
Dabeli,0,0,1,Veg,211,6,17,4.2,61,111,161,41,3,0,7
Samosa,1,0,0,Non-Veg,212,7,6,1.2,62,112,162,42,4,0,8
Aloo Tikki,0,1,0,Veg,213,8,7,2.2,63,113,163,43,5,0,9
Dal Makhani,0,0,1,Veg,214,9,8,3.2,64,114,164,44,6,0,3
Baida Roti,1,0,0,Veg,215,10,9,4.2,65,115,165,45,2,0,4
Egg Curry,0,1,0,Non-Veg,216,11,10,1.2,66,116,166,46,3,0,5
Mutton Rogan Josh,0,0,1,Non-Veg,217,12,11,2.2,67,117,167,47,4,0,6
Prawn Masala,1,0,0,Non-Veg,218,13,12,3.2,68,118,168,48,5,0,7
Fish Fry,0,1,0,Non-Veg,219,14,13,4.2,69,119,169,49,6,0,8
Chicken Korma,0,0,1,Non-Veg,220,5,14,1.2,70,120,170,50,2,0,9
Malabar Parotta,1,0,0,Veg,221,6,15,2.2,71,121,171,51,3,0,3
Bombay Sandwich,0,1,0,Veg,222,7,16,3.2,72,122,172,52,4,0,4
Pesarattu,0,0,1,Veg,223,8,17,4.2,73,123,173,53,5,0,5
Kothimbir Vadi,1,0,0,Non-Veg,224,9,6,1.2,74,124,174,54,6,0,6
Patra,0,1,0,Veg,225,10,7,2.2,75,125,175,55,2,0,7
Mooli Paratha,0,0,1,Veg,226,11,8,3.2,76,126,176,56,3,0,8
Kharbooja Juice,1,0,0,Veg,227,12,9,4.2,77,127,177,57,4,0,9
Lassi,0,1,0,Non-Veg,228,13,10,1.2,78,128,178,58,5,0,3
Jalebi,0,0,1,Veg,229,14,11,2.2,79,129,179,59,6,0,4
Imarti,1,0,0,Veg,230,5,12,3.2,80,130,180,60,2,0,5
Sandesh,0,1,0,Veg,231,6,13,4.2,81,131,181,61,3,0,6
Shrikhand,0,0,1,Non-Veg,232,7,14,1.2,82,132,182,62,4,0,7
Modak,1,0,0,Veg,233,8,15,2.2,83,133,183,63,5,0,8
Thekua,0,1,0,Veg,234,9,16,3.2,84,134,184,64,6,0,9
Shahi Tukda,0,0,1,Veg,235,10,17,4.2,85,135,185,65,2,0,3
Kesari Bath,1,0,0,Non-Veg,236,11,6,1.2,86,136,186,66,3,0,4
Rava Dosa,0,1,0,Veg,237,12,7,2.2,87,137,187,67,4,0,5
Medu Vada,0,0,1,Veg,238,13,8,3.2,88,138,188,68,5,0,6
Kuzhi Paniyaram,1,0,0,Veg,239,14,9,4.2,89,139,189,69,6,0,7
Puttu,0,1,0,Non-Veg,240,5,10,1.2,90,140,190,70,2,0,8
Chakuli Pitha,0,0,1,Veg,241,6,11,2.2,91,141,191,71,3,0,9
Chenna Poda,1,0,0,Veg,242,7,12,3.2,92,142,192,72,4,0,3
Macher Jhol,0,1,0,Non-Veg,243,8,13,4.2,93,143,193,73,5,0,4
Biryani,0,0,1,Non-Veg,244,9,14,1.2,94,144,194,74,6,0,5
Keema Paratha,1,0,0,Non-Veg,245,10,15,2.2,95,145,195,75,2,0,6
Butter Naan,0,1,0,Veg,246,11,16,3.2,96,146,196,76,3,0,7
Kulcha,1,1,1,Veg,247,12,17,4.2,97,147,197,77,4,0,8
Rumali Roti,1,1,1,Non-Veg,248,13,6,1.2,98,148,198,78,5,0,9
Thalipeeth,0,1,0,Veg,249,14,7,2.2,99,149,199,79,6,0,3
Mysore Masala Dosa,0,0,1,Veg,250,5,8,3.2,100,150,200,80,2,0,4
Neer Dosa,1,0,0,Veg,251,6,9,4.2,101,151,201,81,3,0,5
Bisi Bele Bath,0,1,0,Non-Veg,252,7,10,1.2,102,152,202,82,4,0,6
Sundal,0,0,1,Veg,253,8,11,2.2,103,153,203,83,5,0,7
Thattai,1,0,0,Veg,254,9,12,3.2,104,154,204,84,6,0,8
Nankhatai,0,1,0,Veg,255,10,13,4.2,105,155,205,30,2,0,9
Banana Chips,0,0,1,Non-Veg,256,11,14,1.2,106,156,206,31,3,0,3
Aloo Bhujia,1,0,0,Veg,257,12,15,2.2,107,157,207,32,4,0,4
Ghevar,0,1,0,Veg,258,13,16,3.2,108,158,208,33,5,0,5
Rabri,0,0,1,Veg,259,14,17,4.2,109,159,209,34,6,0,6
Phirni,1,0,0,Non-Veg,260,5,6,1.2,110,160,210,35,2,0,7
Dum Aloo,0,1,0,Veg,261,6,7,2.2,111,161,211,36,3,0,8
Baigan Chokha,0,0,1,Veg,262,7,8,3.2,112,162,212,37,4,0,9
Sattu Paratha,1,0,0,Veg,263,8,9,4.2,113,163,213,38,5,0,3
Gondh Ladoo,0,1,0,Non-Veg,264,9,10,1.2,114,164,214,39,6,0,4
Panakam,0,0,1,Veg,265,10,11,2.2,115,165,215,40,2,0,5
Pineapple Sheera,1,0,0,Veg,266,11,12,3.2,116,166,216,41,3,0,6
Chikki,0,1,0,Veg,267,12,13,4.2,117,167,217,42,4,0,7
Pesarapappu Payasam,0,0,1,Non-Veg,268,13,14,1.2,118,168,218,43,5,0,8
Appam,1,0,0,Veg,269,14,15,2.2,119,169,219,44,6,0,9
Unniyappam,0,1,0,Veg,270,5,16,3.2,120,170,220,45,2,0,3
Vattayappam,0,0,1,Veg,271,6,17,4.2,121,171,221,46,3,0,4
Ada Pradhaman,1,0,0,Non-Veg,272,7,6,1.2,122,172,222,47,4,0,5
Idiyappam,0,1,0,Veg,273,8,7,2.2,123,173,223,48,5,0,6
Achappam,0,0,1,Veg,274,9,8,3.2,124,174,224,49,6,0,7
Mutton Keema,1,0,0,Non-Veg,275,10,9,4.2,125,175,225,50,2,0,8
Egg Bhurji,0,1,0,Non-Veg,276,11,10,1.2,126,176,226,51,3,0,9
Obbattu,0,0,1,Veg,277,12,11,2.2,127,177,227,52,4,0,3
Sajjige,1,0,0,Veg,278,13,12,3.2,128,178,228,53,5,0,4
Chakli,0,1,0,Veg,279,14,13,4.2,129,179,229,54,6,0,5
Kodubale,0,0,1,Non-Veg,280,5,14,1.2,130,180,230,55,2,0,6
Khara Pongal,1,0,0,Veg,281,6,15,2.2,131,181,231,56,3,0,7
Ven Pongal,0,1,0,Veg,282,7,16,3.2,132,182,232,57,4,0,8
Puliyodarai,0,0,1,Veg,283,8,17,4.2,133,183,233,58,5,0,9
Tomato Rasam,1,0,0,Non-Veg,284,9,6,1.2,134,184,234,59,6,0,3
Mango Pickle,0,1,0,Veg,285,10,7,2.2,135,185,235,60,2,0,4
Garlic Pickle,0,0,1,Veg,286,11,8,3.2,136,186,236,61,3,0,5
Stuffed Bhindi,1,0,0,Veg,287,12,9,4.2,137,187,237,62,4,0,6
Stuffed Capsicum,0,1,0,Non-Veg,288,13,10,1.2,138,188,238,63,5,0,7
Pindi Chole,0,0,1,Veg,289,14,11,2.2,139,189,239,64,6,0,8
Kadhi Chawal,1,0,0,Veg,290,5,12,3.2,140,190,240,65,2,0,9
Dal Baati Churma,0,1,0,Veg,291,6,13,4.2,141,191,241,66,3,0,3
Sev Tamatar,0,0,1,Non-Veg,292,7,14,1.2,142,192,242,67,4,0,4
Gatte ki Sabzi,1,0,0,Veg,293,8,15,2.2,143,193,243,68,5,0,5
Pithla Bhakri,0,1,0,Veg,294,9,16,3.2,144,194,244,69,6,0,6
Vangi Bath,0,0,1,Veg,295,10,17,4.2,145,195,245,70,2,0,7
Kharvas,1,0,0,Non-Veg,296,11,6,1.2,146,196,246,71,3,0,8
Puran Poli,0,1,0,Veg,297,12,7,2.2,147,197,247,72,4,0,9
Sweet Pongal,0,0,1,Veg,298,13,8,3.2,148,198,248,73,5,0,3
Sakkarai Pongal,1,0,0,Veg,299,14,9,4.2,149,199,249,74,6,0,4
